Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://www.clinigrid.org/Capillary/2011/Transformation;57.0;43.0;11.0;3.0;3.0;23.4;2.491228;14.491228;0.4489796;
http://www.best.org/of/robotics/SmachDSL;7.0;7.0;10.0;0.0;2.0;5.2;1.0;3.0;0.0;
http://projektangriff.de/eva/core/model;6.0;8.0;14.0;0.0;1.0;5.8;1.0;8.0;0.0;
http://www.tudresden.de/feature;26.0;22.0;13.0;2.0;2.0;13.0;2.0;29.0;0.27083334;
http:///schoolIncqDerived.ecore;7.0;18.0;11.0;1.0;2.0;7.8;1.1428572;42.142857;0.14705883;
http://www.soluvas.org/schema/web.googleanalytics/1.0;1.0;0.0;2.0;0.0;0.0;0.6;1.0;1.0;0.0;
http://www.iks-gmbh.com/hto/karteikastensystem/1.0.0;6.0;9.0;13.0;0.0;1.0;5.8;1.0;17.0;0.0;
roxgt;5.0;5.0;3.0;1.0;1.0;3.0;1.4;3.4;0.33333334;
dk.itu.oclExamples;3.0;4.0;0.0;0.0;0.0;1.4;1.0;11.0;0.0;
ERA;4.0;4.0;4.0;0.0;0.0;2.4;1.0;12.0;0.0;
http://www.consoli.org/customlexerexample/Attributes;4.0;1.0;3.0;1.0;1.0;2.0;1.5;1.5;0.33333334;
platform:/resource/org.talend.model/model/TalendFile.xsd;25.0;39.0;91.0;0.0;2.0;31.4;1.0;1.0;0.0;
store;112.0;138.0;213.0;2.0;5.0;94.0;1.5625;243.5625;0.3184466;
http://www.xtext.org/Webproject;8.0;4.0;14.0;1.0;2.0;5.8;1.25;1.25;0.0;
http://www.diva.org/diva;52.0;47.0;22.0;4.0;6.0;26.2;3.5769231;24.576923;0.5660377;
http://www.eclipse.org/emf/2011/Henshin;27.0;47.0;10.0;2.0;6.0;18.4;2.2222223;57.22222;0.4864865;
modulecore.xmi;5.0;5.0;11.0;0.0;2.0;4.6;1.0;8.0;0.0;
http://org/eclipse/example/bowling;5.0;5.0;7.0;0.0;1.0;3.6;1.0;7.0;0.0;
http://www.mlhim.org/mlhim2;122.0;128.0;83.0;5.0;4.0;68.4;3.2950819;3.2950819;0.7706522;
http://www.plcopen.org/xml/tc6_0201;122.0;362.0;295.0;2.0;7.0;157.6;1.1967213;1.1967213;0.1389253;
http://www.fluxit.com.ar/jqa/schema/ruleset;18.0;9.0;8.0;2.0;2.0;7.8;2.3333333;2.3333333;0.51428574;
NQC_URI;40.0;46.0;12.0;4.0;3.0;21.0;2.475;11.475;0.42;
http://tar;4.0;6.0;3.0;0.0;3.0;3.2;1.0;4.0;0.0;
http://www.puppetlabs.com/geppetto/1.0.0/PP;77.0;46.0;19.0;3.0;4.0;29.8;2.6363637;2.6363637;0.50757575;
http://grapheditormodel/1.0;3.0;7.0;2.0;0.0;2.0;2.8;1.0;6.0;0.0;
platform:/resource/BDDContracts/model/BDDModel.ecore;13.0;13.0;7.0;1.0;4.0;7.6;1.3076923;1.3076923;0.33333334;
http://de.hub.clickwatch.model;9.0;9.0;29.0;1.0;3.0;10.2;1.2222222;1.2222222;0.05;
http://www.pror.org/presentation/wrspm/xtext/WrspmDomainmodel;5.0;2.0;2.0;1.0;1.0;2.2;1.6;2.6;0.0;
http://www.xtext.org/haxedsl/HaxeDSL;11.0;4.0;16.0;3.0;1.0;7.0;1.8181819;1.8181819;0.16666667;
http://emftext.org/;5.0;3.0;1.0;2.0;1.0;2.4;2.2;4.2;0.5;
http://www.hivdrc.org/hivpredrt;8.0;9.0;10.0;0.0;1.0;5.6;1.0;1.0;0.0;
http://www.mcreiseii.at/jpas/JPas;15.0;17.0;15.0;3.0;4.0;10.8;1.4;1.4;0.0;
http://www.groundspeak.com/cache/1/0/1;14.0;15.0;34.0;0.0;2.0;13.0;1.0;1.0;0.0;
http://www.caltoopia.org/frontend/Cal;62.0;119.0;28.0;3.0;6.0;43.6;1.5;12.5;0.11445783;
http://diamond.org/reconresults;2.0;1.0;4.0;0.0;1.0;1.6;1.0;1.0;0.0;
http://ict-alive.sourceforge.net/owls/service;5.0;7.0;2.0;0.0;1.0;3.0;1.0;17.0;0.0;
http://www.grammaticalframework.org/eclipse/GF;47.0;101.0;60.0;2.0;3.0;42.6;1.2765957;5.2765956;0.5954774;
http://www.eclipse.org/dltk/tcl/parserules.ecore;9.0;6.0;11.0;1.0;2.0;5.8;1.7777778;2.7777777;0.5;
urn:oasis:names:tc:opendocument:xmlns:container;3.0;2.0;4.0;0.0;2.0;2.2;1.0;1.0;0.0;
lit_petriNets;3.0;8.0;2.0;0.0;0.0;2.6;1.0;23.0;0.0;
http:///org/isistan/flabot/edit/editormodel.ecore;57.0;114.0;48.0;8.0;6.0;46.6;2.877193;128.8772;0.4723127;
http://www.eclipse.org/CDO/releng/workingsets/1.0;4.0;2.0;2.0;1.0;2.0;2.2;1.25;1.25;0.0;
http://www.emftext.org/language/javaforms/codegen;1.0;0.0;0.0;0.0;0.0;0.2;1.0;1.0;NaN;
http://www.eclipse.org/hyades/schema/Extractor.xsd;5.0;7.0;14.0;1.0;1.0;5.6;1.2;1.2;0.16;
http://trustmetamodel/1.0;8.0;11.0;15.0;0.0;2.0;7.2;1.0;2.0;0.0;
http://www.ow2.org/mindEd/itf/;48.0;73.0;22.0;3.0;10.0;31.2;1.4791666;2.4791665;0.17391305;
http://www.eclipse.org/ocl/1.1.0/OCLCST;49.0;56.0;26.0;5.0;4.0;28.0;3.3469388;4.346939;0.7759563;
http://se.kaist.ac.kr/aom;21.0;36.0;29.0;6.0;2.0;18.8;2.7619047;87.7619;0.26136363;
http://www.eglipse.org/lang/Glsl;74.0;52.0;26.0;3.0;2.0;31.4;2.6351352;5.635135;0.30973452;
http://mrdata/1.0;25.0;23.0;28.0;1.0;2.0;15.8;1.76;3.76;0.28169015;
http://www.eclipse.org/ocl/3.1.0/Pivot;116.0;170.0;57.0;11.0;5.0;71.8;7.1551723;187.15518;0.841142;
http://www.postfinance.ch/kobe/dsl/tech/AutBE;3.0;2.0;5.0;0.0;2.0;2.4;1.0;1.0;0.0;
http://www.visualligence.com/g/VML;12.0;12.0;6.0;1.0;2.0;6.6;1.5;6.5;0.33333334;
http://fsa/1.0;3.0;7.0;3.0;0.0;1.0;2.8;1.0;14.0;0.0;
http://docbook.org/ns/docbook;79.0;175.0;132.0;1.0;4.0;78.2;1.0126582;1.0126582;0.0032467532;
http://www.kile.de/zapfmaster2000/1.0;22.0;29.0;56.0;1.0;2.0;22.0;1.4090909;57.409092;0.24778761;
http://www.correttouml.org/grammars/StateMachineActions;7.0;9.0;7.0;0.0;4.0;5.4;1.0;1.0;0.0;
http:///org/eclipse/gmf/examples/library.ecore;5.0;7.0;5.0;0.0;2.0;3.8;1.0;8.0;0.0;
http://csv.me12.big.tuwien.ac.at/1.0;10.0;6.0;10.0;2.0;2.0;6.0;1.8;3.8;0.46666667;
http://www.obeonetwork.org/dsl/environment/2.0.0;28.0;43.0;19.0;4.0;2.0;19.2;2.392857;51.392857;0.7596899;
http://dp/1.0;5.0;10.0;7.0;0.0;0.0;4.4;1.0;27.0;0.0;
http://www.omg.com/di/1.0.0;7.0;12.0;14.0;1.0;2.0;7.2;1.4285715;1.4285715;0.44680852;
http://www.soluvas.org/schema/web.olark/1.0;1.0;0.0;3.0;0.0;0.0;0.8;1.0;1.0;0.0;
http://process/1.0;5.0;4.0;3.0;2.0;0.0;2.8;2.2;13.2;0.6666667;
http://rhs;3.0;3.0;7.0;0.0;2.0;3.0;1.0;4.0;0.0;
http://metawebmodel/1.0;20.0;23.0;21.0;1.0;9.0;14.8;1.05;7.05;0.022222223;
http://www.eclipse.org/datatools/connectivity/oda/design;57.0;73.0;80.0;2.0;7.0;43.8;1.1403508;1.1403508;0.049689442;
platform:/resource/junitAssert/model/Assert.ecore;13.0;9.0;8.0;1.0;3.0;6.8;1.6153846;1.6153846;0.0;
http://gts.inf.um.es/modernization/cst;4.0;1.0;4.0;2.0;1.0;2.4;2.0;2.0;0.44444445;
http://www.w3.org/XML/1998/namespace;1.0;2.0;5.0;0.0;1.0;1.8;1.0;1.0;0.0;
